"A KONTO","vplačilo na račun (ekon.), (dve besedi)",,vpis
"A LA CARTE","iz jedilnika (gost.),",,
"A LIMINE","fraza, ki pomeni, da takoj, v celoti zavrniti, odreči, odbiti nekaj  (lat.), (dve besedi)",,vpis
"A PRIORI","vnaprej (filoz.),",,
"A VISTA","na vpogled (ekon.),",,
AABYE,"danska pisateljica in novinarka - Karen (1904†1982)",,
AACHEN,"mesto in okrožje v zvezni deželi Severno Porenje-Vestfalija, Nemčija,",,
AACHEN,"nemški slikar - Hans von (1552†1615),",,
"AACHENSKI MIR","mir, ki je bil leta 812 sklenjen med Karlom Velikim in bizantinskim cesarjem Mihaelom Rangabejem,",,
AACK,"nizozemski slikar iz obdobja zlate dobe nizozemskega slikarstva - Johannes van der (ok. 1636†ok. 1682)",2026-03-09,vpis
AADA,"prva šola za igralce v angleško govorečem svetu (ustanovljena 1884), kjer so se šolali zvezdniki, kot sta Robert Redford in Anne Hathaway",2026-03-11,vpis
AADORF,"občina v okrožju Münchwilen v kantonu Thurgau, Švica",,
AAES,"vpliven danski scenograf in umetniški vodja, ki je pustil neizbrisan pečat v evropski kinematografiji, zlasti v Franciji in Nemčiji - Erik (1899†1966)",2026-03-23,vpis
AAFJES,"nizozemski pesnik in pisatelj - Bertus (1914†1993), (Slepi harfist)",2026-03-28,vpis
AAGESEN,"danski pravnik in politik - Andrew (1826†1879)",,
AAGESEN,"danski zgodovinar iz 12. stoletja - Sven",,perplexity
AAK,"široka družina plovil, ki so ključno oblikovala zgodovino prevoza po rekah in obalnih morjih Nizozemske",2026-04-10,vpis
AAK,"(v korejski tradiciji) najvišja oblika dvorne ritualne glasbe, ki ima globoke korenine v konfucijanski filozofiji",2026-04-10,vpis
AAKER,"eden najbolj priljubljenih ameriških otroških igralcev v 50. letih prejšnjega stoletja - Lee (1943†2021), (Rin Tin Tin)",2026-04-11,vpis
AAKJAER,"danski pesnik in pisatelj - Jeppe (1866†1930), (Otroci gneva),",,
AAL,"švicarski pisatelj in dramatik - Johannes (ok. 1500†1551)",,Perplexity
AALBERG,"finska igralka - Ida Emilie (1858†1915),",,
AALBERG,"norveški jazz glasbenik, bobnar - Espen (1975-),",,
AALBERSE,"nizozemski katoliški politik - Petrus Josephus Mattheus (1871†1948),",,
AALBORG,"mesto na Danskem, tudi Alborg,",,
AALEN,"mesto v zvezni deželi Baden-Württemberg, Nemčija",,perplexity
AALEN,"norveški ekonomist in statistik - Odd Olai (1947-)",,
AALESUND,"slikovito pristaniško mesto na zahodni obali Norveške, znano predvsem po svoji edinstveni arhitekturi v slogu art nouveau (jugendstil) in dramatični lokaciji na več otokih",2026-04-11,vpis
AALIYAH,"vzdevek ameriške pevke in igralke Dane Haughton (1979†2001),",,
AALL,"norveški filozof, psiholog, teolog in akademik - Anathon (1867†1943),",,
AALL,"norveški zgodovinar in državnik - Jacob (1773†1844),",,
AALSMEER,"mesto ob jezeru Westeinder Plassen, blizu Amsterdama, Nizozemska",,perplexity
AALST,"mesto v pokrajini Vzhodna Flandrija, Belgija, tudi Alost,",,perplexity
AALTONEN,"finska političarka, pisateljica in novinarka - Ulla-Maija """"Uma"""" (1940†2009)",,
AALTONEN,"finski skladatelj -  Erkki  (1910†1990),",,
AALTONEN,"finski slikar in kipar - Wäino (1894†1966),",,
AALTONEN,"finski telovadec - Paavo (1919†1962),",,
AAMES,"ameriška igralka - Angela (1956†1988), (Fantovščina),",,
AAMODT,"norveški smučar - Kjetil Andre (1971-) (nekd.),",,perplexity
AAMUND,"danska pisateljica in novinarka - Jane (1936†2019)",,
AANRUD,"norveški pesnik in pisatelj - Hans (1863†1953)",,
AANTJES,"nizozemski politik - Willem (1923†2015)",,
AAR,"ameriško letalskoinženirsko podjetje",,vpis
AAR,"najdaljša reka, ki v celoti teče po švicarskem ozemlju in se izliva v Ren",2026-03-09,vpis
AAR,"orel v germanskih grbih",2026-04-06,vpis
AAR,"reka v Nemčiji",,vpis
AARAU,"glavno mesto kantona Aargau, Švica",,perplexity
AARBERG,"mesto v kantonu Bern, Švica",,vpis
AARBURG,"mesto v kantonu Aargau, Švica,",,
AARDENNE,"nizozemski politik - Gijs van (1930†1995),",,
AARE,"najdaljša reka v Švici, levi pritok Rena, Aar",2026-03-27,vpis
AARESTRUP,"danski pesnik - Carl Ludvig Emil (1800†1856), (Efterladte Digte),",,
AARGAU,"eden izmed 26 kantonov Švicarske konfederacije, ki se nahaja na severu države ob meji z Nemčijo",2026-04-27,vpis
AARHUS,"glavno mesto istoimenske pokrajine in pristanišče na Danskem,",,
AARLEN,"flamsko ime glavnega mesta pokrajine Luxembourg, Belgija, Arlon,",,
AARNE,"estonski skladatelj - Els (1917†1995),",,
AARNE,"finski folklorist - Antti (1867†1925),",,
AARON,"mjanmarsko-indijski mednarodni šahovski mojster - Manuel (1935-),",,
AARON,"po Bibliji Mojzesov starejši brat (oblika pisave),",,perplexity
AARON,"valižanska pisateljica - Jane (1951-)",,
AARONS,"ameriški fotograf - Slim (1916†2006)",,vpis
AARONS,"ameriški jazz glasbenik, trobentač - Al (1932†2015)",2026-03-13,vpis
AARONS,"ameriški pesnik in pistaelj - Edward S. (1916†1975)",,vpis
AARONS,"avstralski komunistični voditelj -Laurie (1917†2005)",,vpis
AARONSOHN,"izraelski biolog - Aaron (1876†1919)",,perplexity
AARONSON,"ameriška matematičarka - Ruth Bari (1917†2005),",,
AARONSON,"ameriški astronom - Marc (1950†1987),",,
AARONSON,"ameriški jazz glasbenik, pianist - Irving (1895†1963)",,
AARSKOG,"norveški zdravnik, pediater - Dagfinn (1928†2014),",,
AARTSEN,"nizozemski liberalni politik - Jozias Johannes van (1947-),",,
AARTSEN,"nizozemski plavalec - Stefan (1975) (nekd.),",,
AARTSEN,"nizozemski politik - Jan van (1909†1992),",,
AARWANGEN,"vas in občina v kantonu Bern v Švici",,
AAS,"norveški hitrostni drsalec - Roald (1928†2012)",,perplexity
AAS,"norveški kipar in ilustrator - Nils (1933†2004)",,
AAS,"norveški nogometaš - Einar Jan (1955-) (nekd.)",,
AASE,"norveški zdravnik,  pediater - Jon Morton (1936-)",,
AASE,"mati glavnega junaka v slovitem dramskem delu Peer Gynt norveškega pisatelja Henrika Ibsena",2026-03-23,vpis
AASEN,"norveški filolog, leksikograf, jezikoslovec, prevajalec in pesnik, ki velja za utemeljitelja norveškega knjižnega jezika Nynorsk - Ivar (1813-1896), (Symara)",2026-04-23,vpis
AASIAAT,"mesto ob ustju zaliva Disko, Grenlandija,",,
AAT,"mesto v pokrajini Hainaut, Belgija, tudi Ath",,perplexity
AATHAL,"naselje v švicarskem kantonu Bern, Švica",,
AAV,"estonski skladatelj in zborovodja, ki velja za enega od utemeljiteljev estonske nacionalne opere - Evald (1900†1939)",2026-04-14,vpis
AAVIK,"estonski jezikoslovec - Johannes (1880†1973)",,perplexity
AAVO,"estonski kolesar - Pikkuus (1954-) (nekd.)",2026-03-24,vpis
AB,"enajsti mesec po judovskem koledarju, tudi av,",,
AB,"latinski predlog,",,
AB,"oznaka tipa krvne skupine,",,
AB,"slovenska strokovna revija (Arhitektov bilten),",,
"AB OVO","od samega začetka (lat.), (dve besedi)",2026-03-19,vpis
ABA,"debela, groba in gosta tkanina, ki je tradicionalno stkana iz kamelje dlake ali ovčje volne",2026-03-08,vpis
ABA,"veliko trgovsko in industrijsko mesto v južni Nigeriji, znano kot ""Japonska Afrike"" zaradi svoje močne proizvodne obrti (čevlji, tekstil)",,vpis
"ABA DUGA","majhen nenaseljen otoček v Kornatih",,
"ABA NOVAK","madžarski slikar in grafik - Vilmos (1894†1941),",,
ABACHA,"nigerijski general in politik, diktator - Sani (1943†1998)",,vpis
ABACO,"italijanski skladatelj in violinist - Evaristo (1675†1742)",,
ABACO,"skupina otokov na severu Bahamov, ki ležijo približno 310 km vzhodno od Miamija, ZDA",,perplexity
"ABACO AND CAYS","skupina otokov na severu Bahamskega otočja, v Atlantskem oceanu,",,
ABAD,"filipinski pisatelj - Antonio (1894†1970),",,
ABAD,"mavrski kralj Andaluzije - Tretji (1069†1095),",,
ABAD,"španska pisateljica kratkih zgodb in novinarka - Mercedes (1961-)",2026-04-19,vpis
ABADAN,"mesto v pokrajini Kuzestan, največje naftno pristanišče, Iran,",,
ABADEH,"mesto v pokrajini Fars, Iran,",,
"ABADIA MENDEZ","kolumbijski politik, predsednik -Miguel (1867†1947),",,
ABADIANIA,"mesto v zvezni državi Goias, Brazilija,",,
ABADIDI,"arabska dinastija v Španiji v 11. stoletju,",,
ABADIDI,"muslimanska sekta, ustanovljena v Iraku v 8. stoletju,",,
ABADIE,"francoski arhitekt - Paul (1812†1884),",,
ABADIE,"francoski general - François -Joseph (1891†1977),",,
ABADIE,"francoski general - Maurice-Jean-Joseph  (1877†1948),",,
ABADON,"po Bibliji podzemlje, kraljstvo mrtvih,",,
ABADON,"roman slovenskega pisatelja J. Mencingerja,",,
ABADON,"v judovstvu angel pogubljenja ter poosebitev kraljestva mrtvih in brezna Abadon,",,
ABADSZALOK,"naselje v županiji Jasz-Nagykun-Szolnok, Madžarska,",,
ABADŽIEV,"makedonsko-bolgarski pisatelj in publicist - Georgi (1910†1963), (Aramisko gnezdo),",,
ABAETE,"mesto v zvezni državi Minas Gerais, Brazilija",,vpis
ABAIARA,"mesto v zvezni državi Ceara, Brazilija,",,
ABAIRA,"mesto v zvezni državi Bahia, Brazilija,",,
ABAJA,"jezero v južni Etiopiji,",,
ABAJA,"tradicionalno muslimansko vrhnje dolgo oblačilo,",,
ABAK,"starodavni pripomoček za računanje, ki so ga uporabljali že v stari Grčiji, Rimu in na Kitajskem",2026-03-11,vpis
ABAK,"ravna plošča nad kapitelom stebra, narejenega v dorskem stilu, abakus",2026-03-11,vpis
ABAKAN,"glavno mesto republike Hakasije, Ruska federacija",,vpis
ABAKAN,"reka v Ruski federaciji, levi pritok Jeniseja",,
ABAKANOWICZ,"poljska umetnica in kiparka - Magdalena (1930†2017),",,
ABAKUMOV,"sovjetski general - Dimitrij Lvovič (1901†1962),",,
ABAKUMOV,"sovjetski general in minister - Viktor Semjonovič (1908†1954),",,
ABAKUS,"pripomoček za mehanično računanje pri Rimljanih in Grkih,",,
ABAKUS,"ravna plošča nad kapitelom stebra, narejenega v dorskem stilu, abak,",,
ABALKIN,"ruski ekonomist - Leonid Ivanovič (1930†2011)",,vpis
ABALIENACIJA,"proces, v katerem človek izgublja svoje bistvo, odtujevanje,",,
ABALIGET,"naselje v županiji Baranja, Madžarska,",,
ABALKIN,"ruski astronom - Viktor Kuzmič (1930-),",,
ABAMPER,"osnovna enota za merjenje električnega toka v CGS sistemu enot, biot",,
ABANA,"naravni ajurvedski pripravek, ki se uporablja za podporo zdravju srca in uravnavanje holesterola",2026-03-16,vpis
ABANA,"biblijsko ime reke Barada, Sirija,",,
ABANCAY,"mesto in pokrajina v regiji Apurimac, Peru,",,
ABANDON,"odstopna pravica, zapustitev (jur.),",,
ABANERA,"kubanski ples",,
ABANKIN,"ruski admiral - Pavel (1902†1965),",,
ABANO,"italijanski zdravnik in filozof - Pietro d  (ok. 1250†ok. 1316),",,
ABANO,"svetovno znano zdraviliško mesto v severni Italiji, v deželi Benečija (Veneto), ki leži ob vznožju Evganejskih gričev blizu Padove",2026-04-19,vpis
"ABANO TERME","mesto in občina v provinci Padova, v regiji Benečija, Italija",,
ABANOZ,"turški judoist - Salim (1969-) (nekd.)",,vpis
ABANOZ,"turški nogometaš - Anil (1987-)",,vpis
ABAQUESNE,"francoski slikar - Masseot (1526†1564),",,
ABARE,"mesto v zvezni državi Bahia, Brazilija",,
ABARIM,"po Bibliji splošni naziv za dežele vzhodno od Jordana,",,
ABAROA,"bolivijski narodni heroj, ki simbolizira odpor države v solnitni vojni (Guerra del Pacífico) proti Čilu - Eduardo (1838†1879)",2026-03-22,vpis
ABARTH,"avstrijsko-italijanski konstruktor avtomobilov - Carlo (1908†1979),",,
ABAS,"libanonski teolog, politik in terorist - al-Musavi (1952†1992)",,vpis
ABAS,"perzijski šah - I. Veliki (1571†1629)",,vpis
ABAS,"po Koranu prerok in Mohamedov stric (?†653)",,vpis
"ABAS PRVI VELIKI","perzijski šah (1557†1629),",,
ABASAR,"naselje v županiji Heves, Madžarska,",,
ABASCAL,"španski podkralj v Peruju - Jose Fernando de (1743†1821),",,
ABASCAL,"španski politik - Santiago (1976-)",,
ABASI,"star perzijski zlatnik",,vpis
ABASIDI,"arabska vladarska dinastija, ki je med letoma 756 in 1258 vladala celotnemu islamskemu svetu",,perplexity
ABASTUMANI,"letovišče in zdravilišče v Gruziji,",,
