GESLO,GESLO_NORM,OPIS
Almoradí,ALMORADI,mesto v Španiji
Almuñécar,ALMUNECAR,mesto v Španiji
Alpedrete,ALPEDRETE,mesto v Španiji
Altea,ALTEA,mesto v Španiji
Alza,ALZA,mesto v Španiji
Ames,AMES,mesto v Španiji
Amorebieta,AMOREBIETA,mesto v Španiji
Amorebieta Echano,AMOREBIETA ECHANO,mesto v Španiji
Amposta,AMPOSTA,mesto v Španiji
Andújar,ANDUJAR,mesto v Španiji
Antequera,ANTEQUERA,mesto v Španiji
Arahal,ARAHAL,mesto v Španiji
Aranda de Duero,ARANDA DE DUERO,mesto v Španiji
Aranjuez,ARANJUEZ,mesto v Španiji
Archena,ARCHENA,mesto v Španiji
Arcos de la Frontera,ARCOS DE LA FRONTERA,mesto v Španiji
Arenys de Mar,ARENYS DE MAR,mesto v Španiji
Arganda del Rey,ARGANDA DEL REY,mesto v Španiji
Arganzuela,ARGANZUELA,mesto v Španiji
