GESLO,GESLO_NORM,OPIS
Adeje,ADEJE,mesto v Španiji
Adra,ADRA,mesto v Španiji
Agüimes,AGUIMES,mesto v Španiji
Alacuás,ALACUAS,mesto v Španiji
Albacete,ALBACETE,mesto v Španiji
Albal,ALBAL,mesto v Španiji
Albolote,ALBOLOTE,mesto v Španiji
Alboraya,ALBORAYA,mesto v Španiji
Alcalá de Guadaíra,ALCALA DE GUADAIRA,mesto v Španiji
Alcalá de Henares,ALCALA DE HENARES,mesto v Španiji
Alcalá la Real,ALCALA LA REAL,mesto v Španiji
Alcantarilla,ALCANTARILLA,mesto v Španiji
Alcañiz,ALCANIZ,mesto v Španiji
Alcira,ALCIRA,mesto v Španiji
Alcobendas,ALCOBENDAS,mesto v Španiji
Alcorcón,ALCORCON,mesto v Španiji
Alcoy,ALCOY,mesto v Španiji
Alcudia,ALCUDIA,mesto v Španiji
Alcázar de San Juan,ALCAZAR DE SAN JUAN,mesto v Španiji
Aldaya,ALDAYA,mesto v Španiji
Alfafar,ALFAFAR,mesto v Španiji
Alfaz del Pi,ALFAZ DEL PI,mesto v Španiji
Algeciras,ALGECIRAS,mesto v Španiji
Algemesí,ALGEMESI,mesto v Španiji
Algete,ALGETE,mesto v Španiji
Alhama de Murcia,ALHAMA DE MURCIA,mesto v Španiji
Alhaurín de la Torre,ALHAURIN DE LA TORRE,mesto v Španiji
Alhaurín el Grande,ALHAURIN EL GRANDE,mesto v Španiji
Alicante,ALICANTE,mesto v Španiji
Aljaraque,ALJARAQUE,mesto v Španiji
Almansa,ALMANSA,mesto v Španiji
Almazora,ALMAZORA,mesto v Španiji
Almendralejo,ALMENDRALEJO,mesto v Španiji
Almería,ALMERIA,mesto v Španiji
Almonte,ALMONTE,mesto v Španiji
Almoradí,ALMORADI,mesto v Španiji
Almuñécar,ALMUNECAR,mesto v Španiji
Alpedrete,ALPEDRETE,mesto v Španiji
Altea,ALTEA,mesto v Španiji
Alza,ALZA,mesto v Španiji
Ames,AMES,mesto v Španiji
Amorebieta,AMOREBIETA,mesto v Španiji
Amorebieta Echano,AMOREBIETA ECHANO,mesto v Španiji
Amposta,AMPOSTA,mesto v Španiji
Andújar,ANDUJAR,mesto v Španiji
Antequera,ANTEQUERA,mesto v Španiji
Arahal,ARAHAL,mesto v Španiji
Aranda de Duero,ARANDA DE DUERO,mesto v Španiji
Aranjuez,ARANJUEZ,mesto v Španiji
Archena,ARCHENA,mesto v Španiji
Arcos de la Frontera,ARCOS DE LA FRONTERA,mesto v Španiji
Arenys de Mar,ARENYS DE MAR,mesto v Španiji
Arganda del Rey,ARGANDA DEL REY,mesto v Španiji
Arganzuela,ARGANZUELA,mesto v Španiji
Armilla,ARMILLA,mesto v Španiji
Arnedo,ARNEDO,mesto v Španiji
Arona,ARONA,mesto v Španiji
Arrecife,ARRECIFE,mesto v Španiji
Arriaga,ARRIAGA,mesto v Španiji
Arroyo de la Encomienda,ARROYO DE LA ENCOMIENDA,mesto v Španiji
Arroyo de la Miel,ARROYO DE LA MIEL,mesto v Španiji
Arroyomolinos,ARROYOMOLINOS,mesto v Španiji
Arteijo,ARTEIJO,mesto v Španiji
Arucas,ARUCAS,mesto v Španiji
Aspe,ASPE,mesto v Španiji
Atarfe,ATARFE,mesto v Španiji
Avilés,AVILES,mesto v Španiji
Ayamonte,AYAMONTE,mesto v Španiji
Ayora,AYORA,mesto v Španiji
Azpeitia,AZPEITIA,mesto v Španiji
Azuqueca de Henares,AZUQUECA DE HENARES,mesto v Španiji
Badajoz,BADAJOZ,mesto v Španiji
Badalona,BADALONA,mesto v Španiji
Baena,BAENA,mesto v Španiji
Baeza,BAEZA,mesto v Španiji
Bailén,BAILEN,mesto v Španiji
Balaguer,BALAGUER,mesto v Španiji
Baracaldo,BARACALDO,mesto v Španiji
Barajas,BARAJAS,mesto v Španiji
Barañáin,BARANAIN,mesto v Španiji
Barbastro,BARBASTRO,mesto v Španiji
Barbate,BARBATE,mesto v Španiji
