GESLO,GESLO_NORM,OPIS
Chambéry,CHAMBERY,mesto v Franciji
Champigny sur Marne,CHAMPIGNY SUR MARNE,mesto v Franciji
Champs sur Marne,CHAMPS SUR MARNE,mesto v Franciji
Charenton le Pont,CHARENTON LE PONT,mesto v Franciji
Charleville,CHARLEVILLE,mesto v Franciji
Charleville Mézières,CHARLEVILLE MEZIERES,mesto v Franciji
Chartres,CHARTRES,mesto v Franciji
Chatou,CHATOU,mesto v Franciji
Chaumont,CHAUMONT,mesto v Franciji
Chaville,CHAVILLE,mesto v Franciji
Chelles,CHELLES,mesto v Franciji
Chemillé en Anjou,CHEMILLE EN ANJOU,mesto v Franciji
Chennevières sur Marne,CHENNEVIERES SUR MARNE,mesto v Franciji
Cherbourg,CHERBOURG,mesto v Franciji
Cherbourg en Cotentin,CHERBOURG EN COTENTIN,mesto v Franciji
Cherbourg Octeville,CHERBOURG OCTEVILLE,mesto v Franciji
Chevilly Larue,CHEVILLY LARUE,mesto v Franciji
Chilly Mazarin,CHILLY MAZARIN,mesto v Franciji
Choisy le Roi,CHOISY LE ROI,mesto v Franciji
Cholet,CHOLET,mesto v Franciji
Châlons en Champagne,CHALONS EN CHAMPAGNE,mesto v Franciji
Château Gontier sur Mayenne,CHATEAU GONTIER SUR MAYENNE,mesto v Franciji
Château Thierry,CHATEAU THIERRY,mesto v Franciji
Châteauneuf les Martigues,CHATEAUNEUF LES MARTIGUES,mesto v Franciji
Châteaurenard,CHATEAURENARD,mesto v Franciji
