GESLO,GESLO_NORM,OPIS
Nancy,NANCY,mesto v Franciji
Nanterre,NANTERRE,mesto v Franciji
Nantes,NANTES,mesto v Franciji
Narbonne,NARBONNE,mesto v Franciji
Neuilly Plaisance,NEUILLY PLAISANCE,mesto v Franciji
Neuilly sur Marne,NEUILLY SUR MARNE,mesto v Franciji
Neuilly sur Seine,NEUILLY SUR SEINE,mesto v Franciji
Nevers,NEVERS,mesto v Franciji
Nice,NICE,mesto v Franciji
Niort,NIORT,mesto v Franciji
Nogent sur Marne,NOGENT SUR MARNE,mesto v Franciji
Nogent sur Oise,NOGENT SUR OISE,mesto v Franciji
Noisiel,NOISIEL,mesto v Franciji
Noisy le Grand,NOISY LE GRAND,mesto v Franciji
Noisy le Sec,NOISY LE SEC,mesto v Franciji
Nouméa,NOUMEA,mesto v Franciji
Nîmes,NIMES,mesto v Franciji
Octeville,OCTEVILLE,mesto v Franciji
Olivet,OLIVET,mesto v Franciji
Olonne sur Mer,OLONNE SUR MER,mesto v Franciji
Orange,ORANGE,mesto v Franciji
Orly,ORLY,mesto v Franciji
Orléans,ORLEANS,mesto v Franciji
Orsay,ORSAY,mesto v Franciji
Orvault,ORVAULT,mesto v Franciji
