label,GESLO,OPIS
Abbeville,ABBEVILLE,mesto v Franciji
Achères,ACHERES,mesto v Franciji
Agde,AGDE,mesto v Franciji
Agen,AGEN,mesto v Franciji
Aix-en-Provence,AIX EN PROVENCE,mesto v Franciji
Aix-les-Bains,AIX LES BAINS,mesto v Franciji
Ajaccio,AJACCIO,mesto v Franciji
Albertville,ALBERTVILLE,mesto v Franciji
Albi,ALBI,mesto v Franciji
Alençon,ALENCON,mesto v Franciji
Alfortville,ALFORTVILLE,mesto v Franciji
Allauch,ALLAUCH,mesto v Franciji
Alès,ALES,mesto v Franciji
Ambarès-et-Lagrave,AMBARES ET LAGRAVE,mesto v Franciji
Ambérieu-en-Bugey,AMBERIEU EN BUGEY,mesto v Franciji
Amiens,AMIENS,mesto v Franciji
Angers,ANGERS,mesto v Franciji
Anglet,ANGLET,mesto v Franciji
Angoulême,ANGOULEME,mesto v Franciji

Annecy,ANNECY,mesto v Franciji
Annecy-le-Vieux,ANNECY LE VIEUX,mesto v Franciji
Annemasse,ANNEMASSE,mesto v Franciji
Annonay,ANNONAY,mesto v Franciji
Antibes,ANTIBES,mesto v Franciji
