QID,MESTO,GESLO,OPIS,DRŽAVA
Q250399,Brie-Comte-Robert,BRIECOMTEROBERT,mesto v Franciji,Franciji
Q14912015,Bruay-en-Artois,BRUAYENARTOIS,mesto v Franciji,Franciji
Q327025,Bruges,BRUGES,mesto v Franciji,Franciji
Q259382,Bussy-Saint-Georges,BUSSYSAINTGEORGES,mesto v Franciji,Franciji
Q1014795,Capesterre-Belle-Eau,CAPESTERREBELLEEAU,mesto v Franciji,Franciji
Q399827,Carrières-sur-Seine,CARRIERESSURSEINE,mesto v Franciji,Franciji
Q326520,Cestas,CESTAS,mesto v Franciji,Franciji
Q7148,Challans,CHALLANS,mesto v Franciji,Franciji
Q623487,Chamalières,CHAMALIERES,mesto v Franciji,Franciji
Q494125,Chaville,CHAVILLE,mesto v Franciji,Franciji
Q21027217,Chemillé-en-Anjou,CHEMILLEENANJOU,mesto v Franciji,Franciji
Q258757,Chevilly-Larue,CHEVILLYLARUE,mesto v Franciji,Franciji
Q247241,Chilly-Mazarin,CHILLYMAZARIN,mesto v Franciji,Franciji
Q251731,Coulommiers,COULOMMIERS,mesto v Franciji,Franciji
Q732854,Cournon-d'Auvergne,COURNONDAUVERGNE,mesto v Franciji,Franciji
